event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench,team
1,50,50,6085624,6108681,6085623,75,0,1000,0,0,5,Top Dier
2,94,136,573794,574088,3051561,10,0,1000,3,8,11,Top Dier
3,58,194,6791696,6798351,4223332,70,0,997,0,0,14,Top Dier
4,85,279,45834,46072,1117169,1,0,997,1,0,0,Top Dier
5,48,327,8034506,8044778,2238389,80,0,999,0,0,8,Top Dier
6,32,359,9074092,9076328,3853947,90,2,998,1,0,6,Top Dier
7,27,382,10121806,10121919,5556712,100,0,997,4,4,11,Top Dier
8,30,412,7625555,7635754,5922225,75,1,997,1,0,6,Top Dier
9,50,462,6787715,6800993,6096916,65,1,998,0,0,3,Top Dier
10,37,499,5767108,5783693,6105096,55,1,996,0,0,6,Top Dier
11,51,550,4543149,4555249,5887573,45,1,994,0,0,8,Top Dier
12,46,596,6010614,6022547,5927752,60,1,995,0,0,17,Top Dier
13,55,651,6384742,6395074,6020967,60,1,993,0,0,7,Top Dier
14,65,716,3707309,3709818,5697213,35,2,992,3,0,6,Top Dier
15,54,770,4267690,4281491,5583794,40,2,993,0,0,0,Top Dier
16,46,816,5770540,5787295,5621445,55,2,992,0,0,4,Top Dier
17,58,870,6059330,6059381,5742310,60,4,993,6,4,7,Top Dier
18,54,924,5263451,5271641,5626882,50,13,997,1,0,11,Top Dier
19,49,973,9149577,9155645,6053601,85,13,1001,0,0,2,Top Dier
20,56,1029,6568606,6582220,6153132,60,13,1001,0,0,7,Top Dier
21,83,1112,702978,708351,5486641,10,13,1002,0,0,8,Top Dier
22,35,1147,9441952,9448190,5712054,85,9,1005,1,0,5,Top Dier
23,66,1213,2993389,3008922,5582493,30,9,1004,0,0,8,Top Dier
24,41,1254,9883705,9887334,6399799,90,9,1003,0,0,12,Top Dier
25,58,1312,8589442,8594133,6582418,80,4,1000,0,0,5,Top Dier
26,59,1371,6987935,6991854,6575950,65,0,998,1,0,2,Top Dier
27,77,1448,168732,170305,6257309,5,5,997,0,0,2,Top Dier
28,47,1495,7513055,7521843,6313890,70,5,994,0,0,3,Top Dier
29,42,1537,4552271,4561294,6247601,45,5,996,0,0,3,Top Dier
30,42,1579,6703931,6721145,6269547,60,5,998,0,0,3,Top Dier
31,21,1600,10142948,10153503,6404072,90,5,999,0,0,3,Top Dier
32,46,1646,7647576,7659028,6460439,70,5,998,0,0,9,Top Dier
33,43,1689,8826999,8836567,6569166,80,5,997,0,0,1,Top Dier
34,23,1712,10395673,10400376,6768882,95,5,998,0,0,4,Top Dier
35,46,1758,3791345,3815381,6722074,35,5,998,0,0,2,Top Dier
36,25,1783,10684050,10689133,6895896,95,5,998,0,0,3,Top Dier
37,15,1798,11293489,11294656,7109519,100,5,996,0,0,6,Top Dier
38,42,1840,6896570,6914272,7108546,65,5,995,0,0,11,Top Dier
1,63,63,2859831,2969231,2859831,35,0,1000,0,0,2,Inter Row Z
2,70,133,4690007,4727507,3380216,50,0,1000,0,0,0,Inter Row Z
3,74,207,2957239,2989108,2795757,30,0,1002,1,0,1,Inter Row Z
4,34,241,9184672,9207655,4479146,95,0,1002,0,0,0,Inter Row Z
5,65,306,2958703,3006825,3944868,30,0,1005,0,0,2,Inter Row Z
6,56,362,3564419,3597408,3573432,35,0,1006,0,0,2,Inter Row Z
7,40,402,7350803,7353415,4088182,75,2,1007,4,0,0,Inter Row Z
8,55,457,593676,611119,2739425,10,2,1006,0,0,3,Inter Row Z
9,68,525,1380019,1409494,2118763,15,2,1009,0,0,12,Inter Row Z
10,43,568,3574371,3630614,2081094,35,2,1013,0,0,0,Inter Row Z
11,55,623,3466744,3507084,2004687,35,2,1014,0,0,2,Inter Row Z
12,61,684,2266725,2296718,1728395,25,2,1015,0,0,1,Inter Row Z
13,58,742,5689921,5731133,2105033,55,2,1016,0,0,0,Inter Row Z
14,65,807,3467289,3510946,2045726,35,2,1016,0,0,0,Inter Row Z
15,54,861,4267690,4318254,2000628,40,2,1017,0,0,0,Inter Row Z
16,47,908,5404557,5465393,2115417,50,2,1016,0,0,0,Inter Row Z
17,53,961,6690749,6716080,2722728,65,2,1017,0,0,0,Inter Row Z
18,50,1011,6146969,6184803,2971972,60,2,1016,0,0,3,Inter Row Z
19,54,1065,8287091,8319116,3521501,80,2,1020,0,0,8,Inter Row Z
20,56,1121,6568606,6618268,3755234,60,2,1018,0,0,2,Inter Row Z
21,43,1164,8095672,8130079,4195618,75,2,1017,0,0,2,Inter Row Z
22,37,1201,8853417,8877687,4382242,80,7,1013,1,0,2,Inter Row Z
23,53,1254,8159708,8221157,4581862,75,7,1010,0,0,1,Inter Row Z
24,68,1322,7521004,7532041,5184885,70,7,1010,0,0,3,Inter Row Z
25,58,1380,8589442,8610861,5534462,80,7,1009,0,0,0,Inter Row Z
26,25,1405,10841919,10852037,6115538,100,7,1007,0,0,0,Inter Row Z
27,39,1444,10365156,10393299,6305696,95,7,1006,0,0,0,Inter Row Z
28,34,1478,9671420,9698894,6513017,90,7,1003,0,0,1,Inter Row Z
29,23,1501,9581156,9622606,6672754,85,7,1001,0,0,0,Inter Row Z
30,38,1539,8093715,8148851,6731680,75,7,1001,0,0,0,Inter Row Z
31,28,1567,7754567,7831844,6784874,70,7,1001,0,0,0,Inter Row Z
32,32,1599,10350570,10371588,6982597,95,7,1003,0,0,0,Inter Row Z
33,56,1655,5830560,5831392,6940181,55,2,1002,5,0,0,Inter Row Z
34,34,1689,8409582,8455952,7007260,75,2,1005,0,0,0,Inter Row Z
35,54,1743,1396325,1442540,6876474,15,2,1003,0,0,0,Inter Row Z
36,43,1786,5343950,5419511,6862466,50,2,1002,0,0,0,Inter Row Z
37,43,1829,4188662,4261304,6791209,40,2,999,0,0,0,Inter Row Z
38,30,1859,10195074,10227649,6919497,90,2,1002,0,0,0,Inter Row Z
1,56,56,4644310,4739304,4644310,55,0,1000,0,0,1,Stranger Mings
2,77,133,2985611,3021408,3380216,35,0,998,0,0,2,Stranger Mings
3,72,205,3556156,3575668,3036287,40,4,997,2,0,4,Stranger Mings
4,49,254,5762480,5813865,3272015,60,4,995,0,0,2,Stranger Mings
5,68,322,2389301,2403531,2643606,25,2,997,2,0,1,Stranger Mings
6,41,363,7082049,7112665,3509728,70,2,995,0,0,2,Stranger Mings
7,39,402,7370408,7414637,4079473,75,2,993,0,0,16,Stranger Mings
8,34,436,5876452,5938255,4287617,60,2,993,0,0,1,Stranger Mings
9,42,478,8994504,9025570,5159563,85,2,991,0,0,0,Stranger Mings
10,32,510,8047349,8048336,5524159,80,8,991,5,0,2,Stranger Mings
11,28,538,10277082,10281815,6447913,100,1,991,1,0,11,Stranger Mings
12,46,584,6189061,6209244,6453574,60,3,988,1,0,8,Stranger Mings
13,47,631,8176401,8209250,6778740,80,3,987,0,0,5,Stranger Mings
14,53,684,6944403,6983117,6859535,65,3,989,0,0,0,Stranger Mings
15,69,753,1086073,1113026,6214812,15,3,991,0,0,0,Stranger Mings
16,33,782,9802614,9802953,6791733,90,0,989,5,4,9,Stranger Mings
17,65,847,4761519,4785111,6440041,45,0,990,0,0,0,Stranger Mings
18,48,895,6612738,6645685,6424917,65,0,990,0,0,9,Stranger Mings
19,61,956,6835018,6870160,6467896,65,0,992,0,0,1,Stranger Mings
20,51,1007,8016052,8055162,6652197,75,0,992,0,0,4,Stranger Mings
21,29,1036,10393038,10406348,7112154,95,0,993,0,0,1,Stranger Mings
22,58,1094,1735512,1735859,6871303,20,5,993,5,0,0,Stranger Mings
23,53,1147,8159708,8215514,7005148,75,5,992,0,0,0,Stranger Mings
24,99,1246,4960138,4978674,6533917,45,5,991,0,0,0,Stranger Mings
25,66,1312,7535946,7557484,6582418,70,5,991,0,0,0,Stranger Mings
